Name,Team,Level,Age,AB,PA,H,1B,2B,3B,HR,RBI,SB,R,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Jon Singleton","HOU","AAA",33,392,472,79,46,15,0,18,66,2,60,0.163135593,0.266949152,0.611111111,0.201530612,0.334745762,0.37755102,0.712296782,0.176020408,2.397633262493036,0.244979919,-1.1112883142195642,56.600694498428666,-9.135470071426072,0.3296121029277979,91.59976710710414,"10441"
"Carlos Perez","CHC","AAA",34,402,465,115,55,32,1,27,87,1,75,0.109677419,0.165591397,0.662337662,0.286069651,0.37204301,0.572139303,0.944182313,0.286069652,2.7629040561131,0.290429042,-1.213598652742803,87.76869772144272,26.915582252225423,0.4080568853244987,138.15310040560578,"10642"
"Yolmer Sanchez","LAA","AAA",33,414,492,102,79,16,3,4,36,9,61,0.136178861,0.231707317,0.587719298,0.246376811,0.356557377,0.328502415,0.685059792,0.082125604,5.037976375532279,0.32885906,-0.882173138204962,57.72243730535963,-14.534062700362417,0.3274033773140829,75.42620420466334,"11602"
"Joey Meneses","NYM","AAA",33,385,419,102,55,35,1,11,55,2,37,0.06921241,0.14797136,0.467741935,0.264935064,0.322195704,0.446753246,0.76894895,0.181818182,2.752667176548085,0.290734824,-0.33593954984098673,55.29938667899535,0.4661492992059965,0.3405147591276032,97.94222439146971,"14366"
"Harold Castro","KCR","AAA,CPX",31,373,410,113,72,18,2,21,65,8,54,0.063414634,0.190243902,0.333333333,0.302949061,0.353086419,0.530831099,0.883917518,0.227882038,4.662830440728665,0.333333333,-0.16729232482612133,69.96053067444142,16.187295144780254,0.38652145862579346,127.00853055137891,"14691"
"Tim Locastro","SDP","AAA",32,344,414,93,59,21,4,9,52,32,69,0.086956521,0.161835748,0.537313432,0.270348837,0.367245657,0.433139534,0.800385191,0.162790697,8.551287006136326,0.308823529,2.966743490193039,61.49657078058,0.6953695562529113,0.361552071512042,94.18507131606275,"15124"
"Jamie Westbrook","TBR","AAA",30,372,430,99,63,29,0,7,49,2,47,0.1,0.162790697,0.614285714,0.266129032,0.350467289,0.400537634,0.751004923,0.134408602,2.6746699419294444,0.306666666,-0.5643345844000578,57.36570476127704,1.0929313166244825,0.34221510435933267,99.83277542690766,"15504"
"Oscar Mercado","PHI","AAA",30,389,477,97,72,13,1,11,65,40,65,0.144654088,0.142557651,1.014705882,0.249357326,0.368644067,0.372750642,0.741394709,0.123393316,5.993175734402896,0.272151898,2.1623664842918515,64.90265360727932,2.4791351582112573,0.3453746372360294,104.62252282212381,"16375"
"Sergio Alcantara","ARI","AAA",28,367,441,92,66,21,3,2,37,4,54,0.151927437,0.197278911,0.770114942,0.250681198,0.367579908,0.340599455,0.708179363,0.089918257,4.18119003777688,0.321428571,-2.2801506617106497,55.83823286693632,-8.928264089412089,0.3376461388585774,88.56654145138678,"16417"
"Vimael Machin","BAL","AAA",31,454,505,130,82,28,2,18,79,15,60,0.087128712,0.178217821,0.488888888,0.286343612,0.347222222,0.475770925,0.822993147,0.189427313,4.714809530439631,0.319088319,0.11172306258231401,75.8349571126869,9.747165043967032,0.3621547071344824,117.83903461467122,"17684"
