Name,Team,Level,Age,AB,PA,H,1B,2B,3B,HR,R,RBI,SB,K%,BB%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Christian Bethancourt","TOR","AAA",33,196,214,34,17,10,0,7,19,21,2,0.261682242,0.051401869,0.196428571,0.173469387,0.219047619,0.331632653,0.550680272,0.158163266,3.310310194713973,0.2,-0.30303632002323866,10.862343975263421,-17.143175832075293,0.2438830106031327,42.47990511493734,"10028"
"Max Stassi","SFG","AAA",34,68,84,18,12,5,0,1,8,18,1,0.214285714,0.154761904,0.722222222,0.264705882,0.404761904,0.382352941,0.787114845,0.117647059,3.1334776313943,0.346938775,-0.009400689974427223,13.426501971416544,1.0900263606835112,0.37390851477781933,118.78858958417553,"10059"
"Tucker Barnhart","TEX","AAA",34,103,125,22,14,6,0,2,15,13,0,0.192,0.136,0.708333333,0.213592233,0.338709677,0.330097087,0.668806764,0.116504854,2.2123934458569017,0.256410256,-0.7719073174521327,13.580068188447553,-4.777782422762315,0.31790762707110376,78.31627804193027,"10200"
"Rafael Ortega","NYM","A,A+,AAA,CPX",34,91,103,21,10,8,0,3,17,18,4,0.203883495,0.097087378,0.476190476,0.23076923,0.300970873,0.417582417,0.71855329,0.186813187,5.925864784019156,0.260869565,0.17402109690010548,12.655905042949282,-0.402675392863193,0.32971241057497785,94.5300201135539,"10323"
"Jon Singleton","HOU","AAA",33,392,472,79,46,15,0,18,60,66,2,0.266949152,0.163135593,0.611111111,0.201530612,0.334745762,0.37755102,0.712296782,0.176020408,2.397633262493036,0.244979919,-1.1112883142195642,56.600694498428666,-9.135470071426072,0.3296121029277979,91.59976710710414,"10441"
"Carlos Perez","CHC","AAA",34,402,465,115,55,32,1,27,75,87,1,0.165591397,0.109677419,0.662337662,0.286069651,0.37204301,0.572139303,0.944182313,0.286069652,2.7629040561131,0.290429042,-1.213598652742803,87.76869772144272,26.915582252225423,0.4080568853244987,138.15310040560578,"10642"
"Rob Brantly","MIA","AAA",35,43,45,15,8,6,0,1,5,7,0,0.177777777,0.044444444,0.25,0.348837209,0.377777777,0.558139534,0.935917311,0.209302325,1.08035714,0.411764705,-0.08459075354039669,8.578091310641096,2.6890801362007117,0.4102868927849664,150.3132468781683,"10655"
"Jurickson Profar","ATL","AAA",32,48,59,16,10,3,0,3,7,9,0,0.101694915,0.13559322,1.333333333,0.333333333,0.406779661,0.583333333,0.990112994,0.25,0.7083333274999999,0.309523809,-0.15226335637271404,11.816360078206417,4.095212093940136,0.42177150815220205,155.81515679930843,"10815"
"Jake Marisnick","ATL","AAA",34,41,45,4,2,1,0,1,5,1,1,0.288888888,0.066666666,0.23076923,0.097560975,0.177777777,0.195121951,0.372899728,0.097560976,6.1135848551228005,0.111111111,0.14924555085599422,-0.15003245473561744,-6.0390436291760015,0.17952674097485014,0.16645038853629635,"11339"
"Yasmani Grandal","BOS","AAA",36,78,94,20,13,5,0,2,8,16,0,0.159574468,0.138297872,0.866666666,0.256410256,0.372340425,0.397435897,0.769776322,0.141025641,0.72753455875,0.29032258,-0.23685410991311073,13.555722183488403,1.2542321746573795,0.3550657287557074,109.36866438834242,"11368"
"Delino DeShields","WSN","AA",32,103,127,27,22,4,1,0,19,6,3,0.275590551,0.125984251,0.457142857,0.262135922,0.371900826,0.320388349,0.692289175,0.058252427,6.360949785004334,0.397058823,-0.2668345645070076,16.065364974363426,1.5516819234925303,0.3334882476113059,114.18722378213005,"11379"
"Gary Sanchez","BAL","AAA",32,49,57,18,11,1,0,6,11,13,0,0.192982456,0.087719298,0.454545454,0.367346938,0.45614035,0.75510204,1.21124239,0.387755102,1.35609243375,0.375,-0.1607224317267537,15.88365143201638,8.424237277725227,0.51502728985067,216.06373528706195,"11442"
